"","LL_MAPover50_by_MATplus20","LL_MAPover50_plus_MATplus20","LL_MATplus20","LL_MAPover50","LW_MAPover50_by_MATplus20","LW_MAPover50_plus_MATplus20","LW_MATplus20","LW_MAPover50","LA_MAPover50_by_MATplus20","LA_MAPover50_plus_MATplus20","LA_MATplus20","LA_MAPover50"
"PGLS.se.MAPover50",0.0382279456915214,0.037376865339063,NA,0.0373400655093856,0.0394612071571393,0.0386496904247623,NA,0.0386513288714776,0.0662957471902683,0.0649249052203902,NA,0.0648990794451447
"PGLS.t.MAPover50",5.02879117958501,5.56254915598308,NA,5.54193507987273,4.65793874955447,5.51740710413526,NA,5.43162790004072,5.66144472685829,6.47227089723317,NA,6.41079234346383
"PGLS.t.P.MAPover50",5.45108846266533e-07,3.07750151062118e-08,NA,3.4553123060882e-08,3.43941643249309e-06,3.96444213005194e-08,NA,6.38111289390419e-08,1.75567649738968e-08,1.25570356074096e-10,NA,1.86478448440613e-10
"PGLS.coef.MATplus20",0.0718821301878008,0.0947577445397613,0.0624580320213336,NA,0.262416592620522,0.306321060253984,0.271778704233454,NA,0.33301202455676,0.399441075728886,0.333884585286231,NA
"PGLS.se.MATplus20",0.145750706216878,0.145368686634231,0.146491414398808,NA,0.150463699717742,0.150399114658329,0.15151952361436,NA,0.252768215124364,0.25254801018488,0.255252577441441,NA
"PGLS.t.MATplus20",0.493185467525897,0.651844263945135,0.426359676283129,NA,1.74405250643707,2.03672116654324,1.79368768954932,NA,1.31746004691656,1.58164412159285,1.30805568599138,NA
"PGLS.t.P.MATplus20",0.621944540953067,0.514588733548983,0.669899101005237,NA,0.0813286790433066,0.0418308566733323,0.0730385290928098,NA,0.187860031357063,0.113914690202046,0.191029104898497,NA
"PGLS.coef.MAPover50:MATplus20",0.883704940821781,NA,NA,NA,1.65307577604755,NA,NA,NA,2.52471866484347,NA,NA,NA
"PGLS.se.MAPover50:MATplus20",0.46220262735896,NA,NA,NA,0.477760850028831,NA,NA,NA,0.801849402633843,NA,NA,NA
"PGLS.t.MAPover50:MATplus20",1.91194270329292,NA,NA,NA,3.46004863300916,NA,NA,NA,3.14861949956002,NA,NA,NA
"PGLS.t.P.MAPover50:MATplus20",0.0560496292234556,NA,NA,NA,0.000553270214684745,NA,NA,NA,0.00166862317208381,NA,NA,NA
"PGLS.F.(Intercept)",40.0073620677995,40.2254640388362,39.2311377219696,40.3012919241885,0.252365385073792,0.250889440538934,0.247202567651464,0.250457916288366,15.8843901574542,15.8729007832743,15.2305325047044,15.8805779278257
"PGLS.F.P.(Intercept)",3.21832338525731e-10,2.88527982475433e-10,4.74503271099477e-10,2.77751676057956e-10,0.615478784227687,0.616513580586622,0.619115270343223,0.616816818695079,7.01479153752644e-05,7.05694644161481e-05,9.88191936888732e-05,7.02847316615363e-05
"PGLS.F.MAPover50",30.7282339188701,30.6988062177694,NA,30.7130444295239,29.7766155649771,29.5622575644691,NA,29.5025816445008,41.3099054106508,41.1254076390342,NA,41.0982584710144
"PGLS.F.P.MAPover50",3.42941017921211e-08,3.4805997452972e-08,NA,3.4553123060882e-08,5.55404328229161e-08,6.19133440940029e-08,NA,6.38111289390419e-08,1.67815124606934e-10,1.83992467710841e-10,NA,1.86478448440613e-10
"PGLS.F.MATplus20",0.428937501239057,0.424900944438175,0.181782573560255,NA,4.1758189386035,4.14823311024527,3.21731552764077,NA,2.51698309952416,2.50159812736921,1.71100967765438,NA
"PGLS.F.P.MATplus20",0.512598385841146,0.514588733548983,0.669899101005237,NA,0.0411569129191845,0.0418308566733323,0.0730385290928098,NA,0.112809788695944,0.113914690202046,0.191029104898497,NA
"PGLS.F.MAPover50:MATplus20",3.65552490067504,NA,NA,NA,11.9719365427886,NA,NA,NA,9.91380475300959,NA,NA,NA
"PGLS.F.P.MAPover50:MATplus20",0.0560496292234556,NA,NA,NA,0.000553270214684745,NA,NA,NA,0.00166862317208381,NA,NA,NA
"PGLS.phy.resid.lambda",6.61069613518961e-05,6.61069613518961e-05,6.61069613518961e-05,6.61069613518961e-05,0.000541687392542474,0.000453103853784823,0.00125116785851701,6.61069613518961e-05,6.61069613518961e-05,6.61069613518961e-05,6.61069613518961e-05,6.61069613518961e-05
"PGLS.phy.resid.lambda.P",1,1,1,1,0.860353908788968,0.892506382876481,0.696397083004832,1,1,1,1,1
"PGLS.phy.resid.norm.P",2.35188883391843e-12,6.35434964828661e-12,2.48289065978694e-10,8.05797342653486e-12,2.77718312002974e-06,1.49113698897398e-06,3.12852535101945e-06,1.53325137490969e-06,0.000211606210952853,0.000166153667083648,0.00504204132594934,0.000208892659042595
